date,maxtemp
1980-03-09,8.3
1980-03-10,16.9
1980-03-11,8.3
1980-03-12,10
1980-03-13,12.2
1980-03-14,8.3
1980-03-15,12.1
1980-03-16,11.4
1980-03-17,13
1980-03-18,11.5
1980-03-19,6.3
1980-03-20,16.1
1980-03-21,12.5
1980-03-22,8.8
1980-03-23,11.6
1980-03-24,11.5
1980-03-25,11.1
1980-03-26,11.8
1980-03-27,15.7
1980-03-28,15.3
1980-03-29,17.7
1980-03-30,21.2
1980-03-31,18.1
1980-04-01,17
1980-04-02,15.4
1980-04-03,13
1980-04-04,17.2
1980-04-05,21.9
1980-04-06,20
1980-04-07,20.2
1980-04-08,17.2
1980-04-09,19.3
1980-04-10,14.7
1980-04-11,17.4
1980-04-12,21.3
1980-04-13,16.9
1980-04-14,21.4
1980-04-15,9.6
1980-04-16,11.4
1980-04-17,11.8
1980-04-18,16.5
1980-04-19,19
1980-04-20,19.3
1980-04-21,20.7
1980-04-22,17
1980-04-23,20.1
1980-04-24,17.2
1980-04-25,14.9
1980-04-26,16.7
1980-04-27,17.1
1980-04-28,24
1980-04-29,21
1980-04-30,17.7
